A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
HA_NH4_SnCl3,0.61733683,9.684210526,0.59093684,0.497812676,6.974443142,176.4644666,3.16,115,1.96,226,170,0.635359116,0.905383345,3.742748918,-0.414552636
HA_NH4_ZrCl3,0.74983649,8.631578947,0.78173596,0.522091338,19.25703335,757.3787787,3.16,109,1.33,226,170,0.602209945,0.924115414,3.70369921,3.071592165
HA_PhA_CaCl3,0.674782553,8.551724138,0.583874208,0.500300235,25.13095571,1752.901816,3.16,100,1,226,388,0.552486188,1.228000389,3.546971929,0.879002722
HA_PhA_PbCl3,0.487318398,9.379310345,0.575472702,0.500300235,6.40261716,1753.87135,3.16,119,2.33,226,388,0.657458564,1.150227031,3.243141894,0.634320937
HA_PhA_SrCl3,0.685251873,8.551724138,0.583874208,0.545264442,25.42412956,1752.293855,3.16,118,0.95,226,388,0.651933702,1.154073944,3.254872219,1.50104099
HA_Py_SrCl3,0.726467896,8.72,0.579833508,0.566503949,27.02768376,1578.424039,3.16,118,0.95,226,322,0.651933702,1.076032058,3.29020653,0.948523939
HA_TetraMA_PbCl3,0.517027757,8,0.610467696,0.530300805,6.558385652,1526.535867,3.16,119,2.33,226,301,0.657458564,1.047696547,3.306519156,0.081085823
HA_TetraMA_SrCl3,0.70208098,7.225806452,0.602788551,0.575678104,25.96348367,1533.194556,3.16,118,0.95,226,301,0.651933702,1.051200549,3.313507128,0.761055425
HA_TetraMA_ZrCl3,0.629739915,7.35483871,0.749741156,0.47814016,15.89962693,1596.197982,3.16,109,1.33,226,301,0.602209945,1.083824015,3.399211577,4.079377342
HA_TiZ_PbCl3,0.493907763,10.52173913,0.541001781,0.512061829,6.594528405,1410.705048,3.16,119,2.33,226,320,0.657458564,1.070088262,3.283846168,-0.184380635
