StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
HA_TetraMA_PbI3,226,301,2.66,119,2.33,57.13582733,6.679439111,0.380283892,79.27336018,1.483870968,1513.572705,0.540909091,1.008513654,3.634250249,1.634971772
i-PA_GUA_HgBr3,307,280,2.96,102,2,55.92055201,8.521777377,0.44831998,63.9175348,1.5625,1492.946797,0.520408163,1.161505938,3.644094734,1.635826726
FA_DiMA_SnBr3,277,296,2.96,115,1.96,55.01919978,6.460730288,0.457855733,48.28439523,1.518518519,1403.308252,0.586734694,1.097038656,3.433627908,1.636666989
GUA_MA_SnBr3,280,238,2.96,115,1.96,47.80700049,6.404447607,0.475219842,48.33134482,1.538461538,1184.955965,0.586734694,1.034513136,3.478316534,1.638800321
TriMA_Cs_CdBr3,304,167,2.96,95,1.69,60.62306366,23.48296692,0.621315808,53.40827939,1.608695652,1462.805118,0.484693878,1.048510571,3.793775286,1.640835462
TriMA_Cs_PbI3,304,167,2.66,119,2.33,55.32818714,22.85519172,0.482870057,85.20961141,1.52173913,1452.820818,0.540909091,0.950109554,3.747989522,1.642012555
Cs_TroP_PbI3,167,333,2.66,119,2.33,72.56798253,22.11230079,0.449909963,82.70059294,1.652173913,1916.606329,0.540909091,0.980354534,3.678773744,1.642837578
Cs_i-PA_PbI3,167,307,2.66,119,2.33,55.32818714,22.85519172,0.482870057,85.20961141,1.52173913,1452.820818,0.540909091,0.953238345,3.73956646,1.646154712
FA_Cs_CdBr3,277,167,2.96,95,1.69,49.63169764,25.87904115,0.711387067,52.98680365,1.764705882,995.9767749,0.484693878,1.015706648,3.816269058,1.648965008
Cs_Py_PbI3,167,322,2.66,119,2.33,62.47384509,23.18552625,0.494808011,83.29503264,1.65,1638.967701,0.540909091,0.9688823,3.702017097,1.651067804
HY_AA_SnBr3,220,300,2.96,115,1.96,47.80700049,6.404447607,0.475219842,48.33134482,1.538461538,1184.955965,0.586734694,1.036786792,3.475872121,1.652318781
EA_NH4_CdBr3,299,170,2.96,95,1.69,55.07981796,9.280355597,0.511232172,49.79543563,1.583333333,1256.733339,0.484693878,1.046080651,3.794985308,1.653202788
FM_FA_PbI3,190,277,2.66,119,2.33,45.96316306,6.737650858,0.40213264,81.52193066,1.608695652,1202.572802,0.540909091,0.945937833,3.759739994,1.653357746
TriMA_Az_PbI3,304,284,2.66,119,2.33,65.66674097,6.681985945,0.307370454,77.98633787,1.470588235,1744.40115,0.540909091,1.072132406,3.580312382,1.65466556
FA_DiMA_PbI3,277,296,2.66,119,2.33,52.97244877,6.803736962,0.342360566,81.69002459,1.518518519,1397.108578,0.540909091,1.05648845,3.588919105,1.655954634
NH4_TroP_PbI3,170,333,2.66,119,2.33,71.63545935,6.694664504,0.269345697,79.92439991,1.592592593,1891.131968,0.540909091,0.983483325,3.672994895,1.659861619
Cs_i-PA_CdBr3,167,307,2.96,95,1.69,60.62306366,23.48296692,0.621315808,53.40827939,1.608695652,1462.805118,0.484693878,1.052155451,3.792082149,1.663397214
HY_DiMA_PbI3,220,296,2.66,119,2.33,45.90820488,6.956282617,0.352328941,83.86308384,1.5,1206.861363,0.540909091,0.99704142,3.650453256,1.664291554
PhA_Py_ZrBr3,388,322,2.96,109,1.33,75.0777692,14.66889466,0.488758933,39.17152293,1.647058824,2005.21652,0.556122449,1.277428972,3.556433886,1.665463732
NH4_MA_SnBr3,170,238,2.96,115,1.96,42.06060763,7.026975052,0.486550184,52.62073151,1.523809524,970.0935179,0.586734694,0.909462098,3.799167431,1.666788885
Cs_DiMA_SnBr3,167,296,2.96,115,1.96,52.02821886,24.09635829,0.623300171,55.41203053,1.55,1292.036541,0.586734694,0.971987617,3.581572104,1.66856566
Cs_i-BuA_SnI3,167,360,2.66,115,1.96,61.03033155,21.81239535,0.47977865,69.21227493,1.5,1576.103168,0.522727273,1.020555608,3.67657701,1.677205447
HA_IM_PbI3,226,303,2.66,119,2.33,53.01857159,6.590060628,0.390536857,79.77855999,1.625,1392.220844,0.540909091,1.010599515,3.631561153,1.678275354
DiMA_MA_PbI3,296,238,2.66,119,2.33,54.16987176,7.019615374,0.323245907,83.88330648,1.481481481,1429.784054,0.540909091,1.015814166,3.625162723,1.682614005
TetraMA_NH4_PbI3,301,170,2.66,119,2.33,58.83459833,6.88755081,0.317654072,81.68269547,1.466666667,1558.203486,0.540909091,0.950109554,3.747989522,1.683807938
Cs_DiMA_CdBr3,167,296,2.96,95,1.69,56.44492379,24.74699564,0.656587573,54.28604514,1.65,1292.142251,0.484693878,1.03879089,3.799021763,1.68631787
3-Py_HY_SnBr3,272,220,2.96,115,1.96,59.70516335,6.353667516,0.445692107,47.14323244,1.535714286,1545.353584,0.586734694,1.004955618,3.517514714,1.687070075
FM_i-BuA_SnI3,190,360,2.66,115,1.96,62.40548309,6.342651367,0.396930739,63.17870266,1.5,1623.153965,0.522727273,1.044829423,3.655871491,1.687157312
FM_AA_PbI3,190,300,2.66,119,2.33,52.12674645,6.59560582,0.394388308,79.5326987,1.576923077,1372.36124,0.540909091,0.969925231,3.69976366,1.69220293
HA_NH4_AgI3,226,170,2.66,94,1.93,157.8546431,11.22815339,0.473505167,69.89876119,1.684210526,442.7722956,0.427272727,0.941307753,4.167890559,1.699178419
DiMA_Az_PbI3,296,284,2.66,119,2.33,62.85147868,6.768870664,0.311058246,79.83700746,1.483870968,1666.158614,0.540909091,1.063788963,3.58458509,1.701542308
FM_FA_CdBr3,190,277,2.96,95,1.69,53.01612516,8.784215193,0.545771935,46.61169135,1.695652174,1208.034751,0.484693878,1.04365073,3.796262047,1.713086644
i-BuA_MA_PbI3,360,238,2.66,119,2.33,62.43089975,6.781906286,0.313012339,79.65421996,1.454545455,1657.437563,0.540909091,1.082561709,3.575918785,1.713178035
FA_MA_CdBr3,277,238,2.96,95,1.69,53.83595645,9.009530609,0.515058805,48.27110623,1.625,1227.303866,0.484693878,1.101968815,3.78145084,1.719537823
EA_i-BuA_AgI3,299,360,2.66,94,1.93,133.9209665,9.410309324,0.336172225,62.21124342,1.5,1742.543554,0.427272727,1.237436867,4.135108343,1.720458718
HA_Cs_GeBr3,226,167,2.96,73,2.01,24.86575792,26.93432441,0.748548797,47.71977826,1.666666667,436.8300266,0.37244898,1.031745025,4.403344649,1.721687242
FM_NH4_CdBr3,190,170,2.96,95,1.69,47.53612556,9.409459657,0.571645839,49.03504743,1.7,954.7881682,0.484693878,0.913649999,4.027946282,1.722506787
HA_GUA_PbI3,226,280,2.66,119,2.33,33.99871114,6.714976477,0.424547888,81.78246829,1.583333333,882.5285779,0.540909091,0.986612117,3.667440634,1.722991755
3-Py_FA_SnBr3,272,277,2.96,115,1.96,63.37190206,6.262379045,0.435218778,46.16349136,1.551724138,1655.210633,0.586734694,1.069754793,3.447915677,1.726583057
FM_MA_HgBr3,190,238,2.96,102,2,46.31857331,9.324839493,0.498623896,69.48297487,1.652173913,1232.373999,0.520408163,0.972865035,3.752918358,1.727412692
FM_TetraMA_AgI3,190,301,2.66,94,1.93,133.9201932,9.38571737,0.40018316,61.92868736,1.5625,1628.779635,0.427272727,1.048274543,4.060942446,1.730054185
FA_HA_CdBr3,277,226,2.96,95,1.69,45.60224436,9.054914537,0.564722629,47.8838901,1.681818182,914.7795872,0.484693878,1.087389294,3.782406672,1.730728513
EA_Cs_CdBr3,299,167,2.96,95,1.69,56.44492379,24.74699564,0.656587573,54.28604514,1.65,1292.142251,0.484693878,1.04243577,3.796925906,1.732093337
NH4_AA_AgI3,170,300,2.66,94,1.93,145.4583519,10.27374086,0.389728825,66.67989627,1.625,1247.933817,0.427272727,1.024629253,4.068817202,1.733209159
GUA_Py_HgBr3,280,322,2.96,102,2,61.47801781,8.437316617,0.434886162,63.33570473,1.655172414,1635.768552,0.520408163,1.179302249,3.64856083,1.73443891
